FIPS,population,cases,new_cases_last_week,new_cases_2_week_ago,deaths
13073,156714,8822,558,629,104
13075,17270,1063,19,46,28
13077,148509,6506,427,563,94
13079,12404,427,22,36,9
13081,22372,1147,71,69,32
13083,16116,888,42,81,8
13085,26108,2131,166,216,20
13087,26404,1840,80,80,46
13089,759297,43121,2767,2989,543
13091,20605,990,32,85,48
13093,13390,636,34,36,24
13095,87956,4651,202,243,227
13097,146343,8679,632,715,113
13099,10190,817,45,22,40
13101,4006,335,5,4,2
13103,64296,2838,160,166,39
13105,19194,1322,73,66,27
13107,22646,1589,40,93,47
13109,10654,640,15,22,9
13111,26188,1629,141,118,39
13113,114421,4677,311,326,85
13115,98498,7906,381,540,123
13117,244252,12561,1142,1211,93
13119,23349,1975,102,114,25
13121,1063937,62813,4128,4000,824
13123,31369,1966,125,128,37
13125,2971,113,10,12,4
13127,85292,5499,317,237,128
13129,57963,4771,228,312,71
13131,24633,1324,63,107,35
13133,18324,1186,66,118,28
13135,936250,65424,4735,5089,628
13137,45328,4141,202,303,105
13139,204441,20896,1208,1407,270
13141,8457,728,29,37,49
13143,29792,1401,57,71,25
13145,35236,1642,83,173,34
13147,26205,1435,86,147,24
13149,11923,492,25,24,12
13151,234561,13950,954,1133,167
13153,157863,7944,593,815,131
13155,9416,615,19,40,13
13157,72977,6614,498,597,79
13159,14219,521,40,47,9
13161,15115,1093,34,70,32
13163,15362,1353,80,80,44
13165,8676,630,46,32,34
13167,9643,667,38,33,31
13169,28735,1267,72,130,23
13171,19077,1040,69,110,32
13173,10423,440,9,17,7
13175,47546,3174,121,204,119
13177,29992,1326,67,115,36
13179,61435,2091,132,90,33
13181,7921,398,30,21,14
13183,19559,510,24,50,7
13185,117406,6615,157,190,107
13187,33610,2343,179,219,32
13189,21312,1268,105,81,26
13191,14378,507,17,28,8
13193,12947,464,25,56,15
13195,29880,2121,180,207,22
13197,8359,309,17,18,10
13199,21167,1106,86,107,22
13201,5718,530,26,41,4
13205,21863,1311,50,80,61
13207,27578,1498,80,122,68
13209,9172,632,19,63,14
13211,19276,951,52,66,8
